officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id
1,2.1666666666666667,5.5,39.5,1,61.2357,0,3
2,4.25,4.75,29.75,0,72.0378,0,2
4,1.7142857142857143,27.428571428571427,54.42857142857143,1,49.0044,0,2
5,11,37.5,61.5,1,74.7611,0.25,2
6,3,8.5,34.5,1,45.5641,0,3
7,2.875,9.375,32.375,1,48.5079,0,2
8,6,13.5,58.5,1,20.7756,0,3
9,1.3333333333333333,13.333333333333334,37.333333333333336,1,85.1604,0.33333333333333333333,3
11,2.5714285714285714,7.571428571428571,28.571428571428573,0,46.8969,0.14285714285714285714,3
12,7.1428571428571429,20.571428571428573,41.57142857142857,1,52.3069,0.14285714285714285714,2
13,1.9,14.4,43.4,1,48.886,0.1,3
14,2.25,10.5,39.5,0,26.1659,0,3
15,5,2,31,1,37.8663,0,3
16,3.6315789473684211,2.1578947368421053,26.157894736842106,1,97.5202,0.05263157894736842105,2
17,1.56,13.52,44.52,1,80.0619,0.04,2
18,2,4.2,27.2,1,40.201,0.2,2
19,1.6,5.2,55.2,1,46.1367,0,3
20,2.6666666666666667,24.666666666666668,45.666666666666664,1,21.5909,0,3
21,1.1875,8,36,0,88.7412,0.4375,3
25,2,0,28,0,54.2662,0,3
27,4.5,15.75,52.75,1,56.3575,0,3
29,24.8333333333333333,15,38,1,31.5043,0.5,2
33,3.0666666666666667,19.6,46.6,1,65.0815,0.06666666666666666667,2
34,2.6,7.133333333333334,32.13333333333333,1,73.6158,0.06666666666666666667,2
35,2.5,2,34,0,19.8881,0,3
38,2.2307692307692308,3.6923076923076925,30.692307692307693,1,71.0214,0.07692307692307692308,3
39,2.625,14.791666666666666,48.791666666666664,0,77.4411,0,2
41,2.6,4.4,29.4,0,52.0003,0,3
42,2.8333333333333333,6.583333333333333,40.583333333333336,1,74.2425,0,2
43,1,23,50,1,35.8526,1,3
44,2.65,5.45,31.45,1,80.7573,0,2
45,1,1,32,1,92.6287,0.5,3
46,1,1,26,1,,0,3
47,1.7142857142857143,6.428571428571429,33.42857142857143,1,49.2033,0.14285714285714285714,3
48,3,11.444444444444445,39.44444444444444,0,42.2032,0.11111111111111111111,2
49,3.8571428571428571,4.571428571428571,37.57142857142857,1,67.1277,0,2
50,1,6,43,0,23.3999,1,3
51,1.875,6.75,34.75,1,60.9568,0,2
52,6.375,6.25,33.25,1,79.4735,0,2
53,2,3,43,0,0,0,3
54,2.7692307692307692,7.846153846153846,40.84615384615385,1,64.7052,0.15384615384615384615,3
56,2.8,4.3,31.3,1,90.0959,0.1,2
58,1.9722222222222222,14,40,1,93.1121,0.25,2
59,2.2857142857142857,5.642857142857143,37.642857142857146,1,68.68,0.21428571428571428571,2
60,4.52,6.52,30.52,1,94.0316,0,2
61,1.875,3.625,29.625,1,54.7973,0,2
62,11.6666666666666667,2,31,0,54.1898,0,1
64,2,4.6,27.6,1,49.1231,0,3
65,2.8709677419354839,6.67741935483871,31.677419354838708,1,93.0496,0,2
66,1.6666666666666667,16,44,1,48.2953,0,3
67,2.5789473684210526,10.789473684210526,48.78947368421053,0,80.0466,0,2
69,2.9230769230769231,10.076923076923077,44.07692307692308,1,63.8455,0,2
70,2.5,24.875,48.875,1,51.4872,0.125,3
71,1,6,45,0,16.2837,1,3
72,5.3333333333333333,2,27,1,,0,3
74,2,3,31,0,,0,3
75,1.8518518518518519,5.925925925925926,33.925925925925924,1,93.061,0.03703703703703703704,2
76,1.75,28.75,58.75,1,51.8318,0,3
77,6.2,6.4,30.4,0,38.7261,0,2
78,5.25,34.75,58.75,1,55.1104,0.125,3
79,48.75,28.5,58.5,1,48.4978,0.5,3
80,1.6666666666666667,3.7777777777777777,34.77777777777778,1,82.6411,0.33333333333333333333,2
81,5.4444444444444444,2.6666666666666665,26.666666666666668,1,65.8209,0,2
82,168,5,30,0,54.2843,0,3
83,4.5,4,26,1,38.6573,0,2
87,5.25,13.75,40.75,0,24.8475,0,2
88,4.2,21.4,45.4,1,54.3739,0,2
89,2.8571428571428571,5.285714285714286,38.285714285714285,1,55.2137,0.28571428571428571429,3
90,2.2,34.04,56.04,1,84.4269,0.12,2
91,2.7647058823529412,25.470588235294116,50.470588235294116,1,71.7904,0.05882352941176470588,2
92,5.3333333333333333,6.407407407407407,30.40740740740741,1,86.3169,0.03703703703703703704,2
93,2,8.5,44.5,1,55.5844,0,3
94,4.8666666666666667,4.933333333333334,31.933333333333334,1,75.4614,0,2
95,2.0833333333333333,46.916666666666664,71.91666666666667,1,0,0.08333333333333333333,2
96,1.7272727272727273,12.727272727272727,35.72727272727273,0,53.0759,0.36363636363636363636,2
97,1,32.5,59.5,1,51.347,0.5,3
100,2.8333333333333333,13.666666666666666,51.666666666666664,1,72.7858,0.66666666666666666667,3
103,1,-8,30,0,,0,3
104,1,1,28,1,,0,3
105,2.7333333333333333,15.533333333333333,42.53333333333333,1,62.7611,0.13333333333333333333,2
107,3.3333333333333333,1.3333333333333333,25.333333333333332,1,93.0725,0,3
108,2,4,34,0,45.7682,0.33333333333333333333,3
109,2.5,7,39,1,93.0269,0,3
110,2,23.375,52.375,1,71.4392,0.5,2
111,6.1176470588235294,6.882352941176471,41.88235294117647,0,78.6431,0.11764705882352941176,2
112,1.6666666666666667,2,35,1,54.941,0,3
113,21,12.1,43.1,0,49.8461,0,3
114,2.4090909090909091,8.772727272727273,38.77272727272727,0,77.8503,0.13636363636363636364,2
115,2.4615384615384615,4.6923076923076925,40.69230769230769,1,87.8644,0,2
116,2.75,1.75,31.75,1,69.1452,0.25,3
117,1.8888888888888889,13.555555555555555,38.55555555555556,1,72.4896,0.27777777777777777778,2
118,2.8571428571428571,6.642857142857143,52.642857142857146,1,73.0236,0.07142857142857142857,2
119,2.6666666666666667,8.6,50.6,1,75.3146,0,2
121,2,1,24,0,,0,3
122,1.6666666666666667,14.166666666666666,47.166666666666664,1,58.54,0.5,3
123,1,6,42,1,,1,3
124,10.4705882352941176,14,42,1,62.0152,0.17647058823529411765,2
126,2.3333333333333333,25.666666666666668,47.666666666666664,1,36.4852,0,3
127,6.6,14.622222222222222,50.62222222222222,1,93.2386,0.11111111111111111111,2
128,2.40625,8.1875,42.1875,1,91.5403,0.03125,2
129,7,6.285714285714286,30.285714285714285,1,59.2551,0,1
130,2.6842105263157895,22.526315789473685,49.526315789473685,1,71.4838,0.05263157894736842105,2
132,1.5,-3,22,1,60.5021,0,3
133,2,29.25,58.25,0,41.8232,0,3
134,2.1666666666666667,14.583333333333334,52.583333333333336,0,65.4427,0.33333333333333333333,3
135,3.3636363636363636,8.363636363636363,39.36363636363637,1,74.6437,0.09090909090909090909,2
137,5,9.5,36.5,1,31.0297,0,2
138,5.0833333333333333,7.916666666666667,36.916666666666664,1,56.6811,0,2
139,3,36,59,1,25.0371,0,3
140,1.8461538461538462,8.461538461538462,32.46153846153846,1,53.8726,0,3
141,3.5,27,49,1,30.119,0,3
142,3,3.5714285714285716,28.571428571428573,1,82.6411,0,2
143,3.0666666666666667,5.533333333333333,37.53333333333333,0,74.6819,0.06666666666666666667,2
144,2.3333333333333333,7.333333333333333,31.333333333333332,0,32.1845,0.33333333333333333333,3
145,1.5,19.5,42.5,1,45.202,0.5,3
146,1.5,31,59,1,29.6429,0,3
147,3.4444444444444444,6,32,1,44.3697,0.11111111111111111111,2
148,3.75,16.5,43.5,1,27.251,0,3
149,2.8571428571428571,3.7142857142857144,28.714285714285715,0,74.5252,0.28571428571428571429,2
151,1.6666666666666667,1.6666666666666667,37.666666666666664,1,25.6467,0,3
152,1.8709677419354839,10.258064516129032,34.25806451612903,1,88.2389,0.09677419354838709677,2
154,1,26,53,1,0,0,3
155,2,21.5,51.5,1,24.8464,0,3
156,2.875,9.625,32.625,1,90.7378,0.09375,2
157,1.625,9.25,42.25,0,80.7229,0.04166666666666666667,2
160,1.9166666666666667,7.166666666666667,33.166666666666664,1,63.1615,0.25,3
161,2,6.25,37.25,1,35.9711,0,2
164,2.2727272727272727,10.545454545454545,33.54545454545455,0,48.1411,0,3
167,2.5,22.5,53.5,1,54.0872,0.5,3
168,4.5,11,39,1,45.1645,0,2
169,5.6,6.8,30.8,1,46.4598,0.2,2
170,3.25,7.75,31.75,1,65.8477,0,1
171,2.6666666666666667,10,40,1,26.2772,0,3
172,2,4,43,1,0,0,3
174,1,1,31,0,43.9163,0,3
176,2,1.5,26.5,1,67.059,0,3
178,1.9210526315789474,15.131578947368421,42.13157894736842,1,90.1792,0.10526315789473684211,2
179,1,1,35,1,,1,3
180,1,0,33,1,,1,3
181,2.6,6.2,37.2,1,58.9928,0,2
182,2.3333333333333333,8,46,1,62.0458,0,2
183,2.6315789473684211,5.105263157894737,31.105263157894736,0,85.782,0.05263157894736842105,1
184,5,12.5,50.5,1,22.7352,0,2
185,1,1,27,1,,1,3
186,2.6666666666666667,14.666666666666666,47.666666666666664,0,31.7145,0.16666666666666666667,3
187,2,2.4,34.4,1,87.788,0,2
188,1.75,4,29,0,36.8614,0,3
190,2.45,10.95,45.95,1,76.7812,0.1,2
191,2.5714285714285714,12.761904761904763,38.76190476190476,1,91.9684,0.11904761904761904762,2
192,1.9411764705882353,3.823529411764706,27.823529411764707,0,84.1606,0.11764705882352941176,2
193,2.3333333333333333,3,31,0,73.1573,0,3
195,3,5.666666666666667,46.666666666666664,0,23.6406,0,3
196,2.4166666666666667,20.333333333333332,49.333333333333336,1,55.7722,0,3
197,1.3333333333333333,14.38888888888889,39.388888888888886,1,66.7734,0.11111111111111111111,2
198,2.5238095238095238,12.714285714285714,36.714285714285715,1,70.0126,0.04761904761904761905,2
199,1.3703703703703704,9.592592592592593,44.592592592592595,0,79.3804,0.48148148148148148148,3
200,16.4375,27.75,48.75,1,63.8865,0.1875,3
201,2,12.5,42.5,1,49.1458,0.25,3
202,2,2.5,25.5,0,49.9561,0,3
203,4.6666666666666667,12.666666666666666,36.666666666666664,1,66.1075,0,1
204,2.625,8.25,32.25,1,42.9177,0,2
205,1.5,6,38,0,18.4785,0,3
208,2.0769230769230769,4.384615384615385,37.38461538461539,1,74.2157,0,2
209,3.2727272727272727,4.363636363636363,27.363636363636363,1,87.8453,0,2
210,2.1666666666666667,6.833333333333333,32.833333333333336,1,62.1069,0,2
