,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
2,4,1.7142857142857144,27.42857142857143,54.42857142857143,1,49.0044,0.0,2,9.515714285714285,16.59,-0.8101499999999999,0.255,0.72,0.025
8,11,2.5714285714285716,7.571428571428571,28.57142857142857,0,46.8969,0.14285714285714285,3,8.148571428571428,16.59,0.5267,0.0,0.833,0.167
9,12,7.142857142857143,20.571428571428573,41.57142857142857,1,52.3069,0.14285714285714285,2,13.865714285714285,17.67,-0.88595,0.41200000000000003,0.5880000000000001,0.0
10,13,1.9,14.4,43.4,1,48.886,0.1,3,11.224,16.59,-0.7845,0.177,0.823,0.0
18,21,1.1875,8.0,36.0,0,88.7412,0.4375,3,5.450625,13.42,-0.5839666666666666,0.24933333333333332,0.699,0.051333333333333335
20,27,4.5,15.75,52.75,1,56.3575,0.0,3,10.31,23.21,-0.6705,0.684,0.316,0.0
21,29,24.833333333333332,15.0,38.0,1,31.5043,0.5,2,4.7,8.22,-0.5719,0.37,0.63,0.0
22,33,3.066666666666667,19.6,46.6,1,65.0815,0.06666666666666667,2,11.704,17.67,-0.5423,0.172,0.777,0.051
24,35,2.5,2.0,34.0,0,19.8881,0.0,3,5.465,5.89,-0.9022,0.294,0.706,0.0
30,44,2.65,5.45,31.45,1,80.7573,0.0,2,11.2555,16.59,-0.22343333333333334,0.08266666666666667,0.5670000000000001,0.016999999999999998
31,45,1.0,1.0,32.0,1,92.6287,0.5,3,1.14,1.14,-0.8065500000000001,0.176,0.8009999999999999,0.023
33,48,3.0,11.444444444444445,39.444444444444436,0,42.2032,0.11111111111111112,2,8.654444444444445,16.59,-0.5267,0.136,0.864,0.0
41,58,1.9722222222222223,14.0,40.0,1,93.1121,0.25,2,10.892857142857144,20.52,-0.5924125,0.25325,0.731125,0.015625
42,59,2.2857142857142856,5.642857142857142,37.642857142857146,1,68.68,0.21428571428571427,2,7.0007142857142854,16.59,-0.4366666666666667,0.10166666666666667,0.5236666666666666,0.041666666666666664
47,65,2.870967741935484,6.67741935483871,31.677419354838708,1,93.0496,0.0,2,11.906129032258065,16.59,0.0,0.0,1.0,0.0
48,66,1.6666666666666667,16.0,44.0,1,48.2953,0.0,3,4.8566666666666665,16.59,-0.8807,0.503,0.392,0.105
49,67,2.5789473684210527,10.789473684210524,48.78947368421053,0,80.0466,0.0,2,6.618421052631579,16.59,-0.52195,0.2125,0.726,0.062
50,69,2.9230769230769234,10.076923076923077,44.07692307692307,1,63.8455,0.0,2,10.670769230769231,20.52,-0.4939,0.126,0.819,0.055
51,70,2.5,24.875,48.875,1,51.4872,0.125,3,8.25,17.67,-0.6124,0.227,0.773,0.0
54,76,1.75,28.75,58.75,1,51.8318,0.0,3,11.515,16.59,-0.44035,0.1125,0.8875,0.0
56,78,5.25,34.75,58.75,1,55.1104,0.125,3,7.855,13.42,-0.6536500000000001,0.279,0.7210000000000001,0.0
57,79,48.75,28.5,58.5,1,48.4978,0.5,3,5.4275,7.66,-0.8979,0.301,0.699,0.0
61,83,4.5,4.0,26.0,1,38.6573,0.0,2,12.871666666666666,16.59,-0.718,0.33799999999999997,0.627,0.035
64,89,2.8571428571428568,5.285714285714286,38.285714285714285,1,55.2137,0.2857142857142857,3,5.62,11.37,-0.7883,0.342,0.658,0.0
65,90,2.2,34.04,56.04,1,84.4269,0.12,2,11.3648,17.67,-0.6324,0.33875,0.65325,0.008
66,91,2.7647058823529407,25.470588235294123,50.470588235294116,1,71.7904,0.05882352941176471,2,8.379411764705882,16.59,-0.7665333333333333,0.44566666666666666,0.5543333333333333,0.0
67,92,5.333333333333333,6.407407407407407,30.407407407407412,1,86.3169,0.03703703703703704,2,9.070769230769232,17.67,-0.610175,0.246,0.7365,0.0175
68,93,2.0,8.5,44.5,1,55.5844,0.0,3,7.539166666666666,16.59,-0.40196666666666664,0.14533333333333334,0.8196666666666667,0.034999999999999996
71,96,1.7272727272727273,12.727272727272727,35.72727272727273,0,53.0759,0.3636363636363636,2,6.3,6.3,-0.24457500000000001,0.20249999999999999,0.7154999999999999,0.08199999999999999
73,100,2.833333333333333,13.666666666666664,51.66666666666666,1,72.7858,0.6666666666666666,3,6.13,8.22,-0.6369,0.426,0.574,0.0
74,105,2.7333333333333334,15.533333333333333,42.53333333333333,1,62.7611,0.1333333333333333,2,7.632666666666665,23.21,-0.3880333333333333,0.15916666666666668,0.8203333333333332,0.0205
78,110,2.0,23.375,52.375,1,71.4392,0.5,2,7.075,16.59,-0.73255,0.269,0.6599999999999999,0.071
